id,window,forward_repeat_number,reverse_repeat_number,telomeric_repeat
group1,1800000,0,1,TTAGGG
group1,1810000,5,3,TTAGGG
group1,1820000,2,4,TTAGGG
group1,1830000,0,0,TTAGGG
group1,1840000,2,2,TTAGGG
group1,1850000,0,2,TTAGGG
group1,1860000,0,1,TTAGGG
group1,1870000,2,3,TTAGGG
group1,1880000,0,1,TTAGGG
group1,1890000,0,1,TTAGGG
group1,1900000,0,0,TTAGGG
group1,1910000,0,1,TTAGGG
group1,1920000,0,0,TTAGGG
group1,1930000,0,0,TTAGGG
group1,1940000,0,1,TTAGGG
group1,1950000,0,0,TTAGGG
group1,1960000,0,0,TTAGGG
group1,1970000,1,0,TTAGGG
group1,1980000,0,0,TTAGGG
group1,1990000,1,0,TTAGGG
group1,2000000,1,0,TTAGGG
group1,2010000,1,0,TTAGGG
group1,2020000,1,0,TTAGGG
group1,2030000,0,0,TTAGGG
group1,2040000,0,1,TTAGGG
group1,2050000,1,0,TTAGGG
group1,2060000,0,0,TTAGGG
group1,2070000,0,1,TTAGGG
group1,2080000,0,0,TTAGGG
group1,2090000,0,0,TTAGGG
group1,2100000,1,0,TTAGGG
group1,2110000,0,0,TTAGGG
group1,2120000,0,1,TTAGGG
group1,2130000,0,0,TTAGGG
group1,2140000,1,0,TTAGGG
group1,2150000,0,0,TTAGGG
group1,2160000,0,0,TTAGGG
group1,2170000,0,1,TTAGGG
group1,2180000,1,0,TTAGGG
group1,2190000,0,0,TTAGGG
group1,2200000,2,2,TTAGGG
group1,2210000,0,0,TTAGGG
group1,2220000,0,0,TTAGGG
group1,2230000,1,0,TTAGGG
group1,2240000,0,0,TTAGGG
group1,2250000,2,0,TTAGGG
group1,2260000,6,0,TTAGGG
group1,2270000,4,0,TTAGGG
group1,2280000,4,1,TTAGGG
group1,2290000,3,1,TTAGGG
group1,2300000,0,0,TTAGGG
group1,2310000,1,2,TTAGGG
group1,2320000,3,3,TTAGGG
group1,2330000,1,1,TTAGGG
group1,2340000,2,0,TTAGGG
group1,2350000,0,0,TTAGGG
group1,2360000,0,0,TTAGGG
group1,2370000,0,0,TTAGGG
group1,2380000,0,0,TTAGGG
group1,2390000,0,0,TTAGGG
group1,2400000,1,0,TTAGGG
group1,2410000,1,0,TTAGGG
group1,2420000,0,0,TTAGGG
group1,2430000,2,0,TTAGGG
group1,2440000,0,0,TTAGGG
group1,2450000,1,0,TTAGGG
group1,2460000,0,0,TTAGGG
group1,2470000,0,1,TTAGGG
group1,2480000,0,0,TTAGGG
group1,2490000,0,0,TTAGGG
group1,2500000,0,0,TTAGGG
group1,2510000,1,0,TTAGGG
group1,2520000,0,0,TTAGGG
group1,2530000,0,0,TTAGGG
group1,2540000,1,0,TTAGGG
group1,2550000,0,0,TTAGGG
group1,2560000,0,0,TTAGGG
group1,2570000,0,0,TTAGGG
group1,2580000,0,0,TTAGGG
group1,2590000,0,0,TTAGGG
group1,2600000,0,0,TTAGGG
group1,2610000,0,0,TTAGGG
group1,2620000,0,0,TTAGGG
group1,2630000,0,0,TTAGGG
group1,2640000,0,0,TTAGGG
group1,2650000,0,0,TTAGGG
group1,2660000,0,0,TTAGGG
group1,2670000,0,0,TTAGGG
group1,2680000,0,0,TTAGGG
group1,2690000,0,0,TTAGGG
group1,2700000,0,0,TTAGGG
group1,2710000,0,0,TTAGGG
group1,2720000,0,0,TTAGGG
group1,2730000,0,0,TTAGGG
group1,2740000,0,0,TTAGGG
group1,2750000,0,1,TTAGGG
group1,2760000,1,1,TTAGGG
group1,2770000,0,0,TTAGGG
group1,2780000,1,1,TTAGGG
group1,2790000,10,1,TTAGGG
group1,2800000,3,6,TTAGGG
group1,2810000,0,9,TTAGGG
group1,2820000,1,4,TTAGGG
group1,2830000,3,9,TTAGGG
group1,2840000,1,5,TTAGGG
group1,2850000,2,1,TTAGGG
group1,2860000,1,0,TTAGGG
group1,2870000,0,0,TTAGGG
group1,2880000,0,1,TTAGGG
group1,2890000,5,1,TTAGGG
group1,2900000,8,3,TTAGGG
group1,2910000,5,0,TTAGGG
group1,2920000,1,4,TTAGGG
group1,2930000,3,8,TTAGGG
group1,2940000,3,6,TTAGGG
group1,2950000,9,0,TTAGGG
group1,2960000,6,3,TTAGGG
group1,2970000,3,4,TTAGGG
group1,2980000,5,0,TTAGGG
group1,2990000,1,2,TTAGGG
group1,3000000,4,4,TTAGGG
group1,3010000,4,1,TTAGGG
group1,3020000,1,2,TTAGGG
group1,3030000,9,0,TTAGGG
group1,3040000,6,3,TTAGGG
group1,3050000,4,1,TTAGGG
group1,3060000,0,1,TTAGGG
group1,3070000,4,1,TTAGGG
group1,3080000,1,2,TTAGGG
group1,3090000,4,0,TTAGGG
group1,3100000,0,4,TTAGGG
group1,3110000,3,1,TTAGGG
group1,3120000,0,2,TTAGGG
group1,3130000,5,0,TTAGGG
group1,3140000,3,3,TTAGGG
group1,3150000,1,0,TTAGGG
group1,3160000,0,4,TTAGGG
group1,3170000,3,0,TTAGGG
group1,3180000,1,0,TTAGGG
group1,3190000,4,1,TTAGGG
group1,3200000,0,3,TTAGGG
group1,3210000,0,1,TTAGGG
group1,3220000,5,1,TTAGGG
group1,3230000,0,1,TTAGGG
group1,3240000,1,3,TTAGGG
group1,3250000,0,3,TTAGGG
group1,3260000,0,1,TTAGGG
group1,3270000,0,0,TTAGGG
group1,3280000,1,0,TTAGGG
group1,3290000,0,0,TTAGGG
group1,3300000,2,0,TTAGGG
group1,3310000,1,1,TTAGGG
group1,3320000,1,2,TTAGGG
group1,3330000,0,1,TTAGGG
group1,3340000,0,1,TTAGGG
group1,3350000,0,0,TTAGGG
group1,3360000,2,1,TTAGGG
group1,3370000,0,1,TTAGGG
group1,3380000,2,0,TTAGGG
group1,3390000,0,2,TTAGGG
group1,3400000,0,3,TTAGGG
group1,3410000,2,0,TTAGGG
group1,3420000,0,1,TTAGGG
group1,3430000,0,3,TTAGGG
group1,3440000,0,1,TTAGGG
group1,3450000,2,0,TTAGGG
group1,3460000,3,0,TTAGGG
group1,3470000,0,2,TTAGGG
group1,3480000,0,3,TTAGGG
group1,3490000,0,2,TTAGGG
group1,3500000,0,2,TTAGGG
group1,3510000,2,0,TTAGGG
group1,3520000,3,3,TTAGGG
group1,3530000,3,4,TTAGGG
group1,3540000,2,0,TTAGGG
group1,3550000,4,31,TTAGGG
group1,3560000,3,3,TTAGGG
group1,3570000,0,1,TTAGGG
group1,3580000,5,3,TTAGGG
group1,3590000,1,2,TTAGGG
group1,3600000,3,3,TTAGGG
group1,3610000,2,1,TTAGGG
group1,3620000,2,5,TTAGGG
group1,3630000,3,3,TTAGGG
group1,3640000,3,1,TTAGGG
group1,3650000,0,0,TTAGGG
group1,3660000,0,0,TTAGGG
group1,3670000,0,0,TTAGGG
group1,3680000,0,1,TTAGGG
group1,3690000,0,0,TTAGGG
group1,3700000,0,0,TTAGGG
group1,3710000,0,1,TTAGGG
group1,3720000,0,0,TTAGGG
group1,3730000,0,1,TTAGGG
group1,3740000,0,1,TTAGGG
group1,3750000,2,0,TTAGGG
group1,3760000,0,1,TTAGGG
group1,3770000,0,0,TTAGGG
group1,3780000,0,1,TTAGGG
group1,3790000,2,1,TTAGGG
group1,3800000,1,1,TTAGGG
group1,3810000,1,0,TTAGGG
group1,3820000,1,0,TTAGGG
group1,3830000,0,1,TTAGGG
group1,3840000,0,0,TTAGGG
group1,3850000,0,1,TTAGGG
group1,3860000,0,0,TTAGGG
group1,3870000,5,2,TTAGGG
group1,3880000,0,1,TTAGGG
group1,3890000,0,1,TTAGGG
group1,3900000,0,3,TTAGGG
group1,3910000,0,2,TTAGGG
group1,3920000,0,1,TTAGGG
group1,3930000,4,10,TTAGGG
group1,3940000,0,0,TTAGGG
group1,3950000,6,4,TTAGGG
group1,3960000,0,0,TTAGGG
group1,3970000,0,0,TTAGGG
group1,3980000,1,1,TTAGGG
group1,3990000,1,4,TTAGGG
group1,4000000,0,0,TTAGGG
group1,4010000,0,0,TTAGGG
group1,4020000,0,0,TTAGGG
group1,4030000,0,0,TTAGGG
group1,4040000,0,0,TTAGGG
group1,4050000,0,0,TTAGGG
group1,4060000,0,0,TTAGGG
group1,4070000,0,0,TTAGGG
group1,4080000,0,0,TTAGGG
group1,4090000,0,0,TTAGGG
group1,4100000,0,0,TTAGGG
group1,4110000,0,0,TTAGGG
group1,4120000,0,0,TTAGGG
group1,4130000,0,0,TTAGGG
group1,4140000,0,0,TTAGGG
group1,4150000,0,0,TTAGGG
group1,4160000,0,0,TTAGGG
group1,4170000,0,0,TTAGGG
group1,4180000,0,0,TTAGGG
group1,4190000,0,0,TTAGGG
group1,4200000,0,0,TTAGGG
group1,4210000,0,0,TTAGGG
group1,4220000,1,0,TTAGGG
group1,4230000,1,1,TTAGGG
group1,4240000,0,0,TTAGGG
group1,4250000,0,0,TTAGGG
group1,4260000,1,0,TTAGGG
group1,4270000,1,1,TTAGGG
group1,4280000,2,0,TTAGGG
group1,4290000,0,0,TTAGGG
group1,4300000,2,0,TTAGGG
group1,4310000,4,2,TTAGGG
group1,4320000,0,0,TTAGGG
group1,4330000,6,1,TTAGGG
group1,4340000,1,0,TTAGGG
group1,4350000,6,1,TTAGGG
group1,4360000,2,2,TTAGGG
group1,4370000,0,4,TTAGGG
group1,4380000,1,3,TTAGGG
group1,4390000,1,0,TTAGGG
group1,4400000,4,1,TTAGGG
group1,4410000,4,1,TTAGGG
group1,4420000,1,1,TTAGGG
group1,4430000,1,0,TTAGGG
group1,4440000,1,0,TTAGGG
group1,4450000,3,1,TTAGGG
group1,4460000,1,0,TTAGGG
group1,4470000,1,0,TTAGGG
group1,4480000,0,0,TTAGGG
group1,4490000,0,0,TTAGGG
group1,4500000,0,0,TTAGGG
group1,4510000,0,0,TTAGGG
group1,4520000,0,0,TTAGGG
group1,4530000,1,3,TTAGGG
group1,4540000,2,0,TTAGGG
group1,4550000,0,0,TTAGGG
group1,4560000,0,0,TTAGGG
group1,4570000,0,0,TTAGGG
group1,4580000,0,0,TTAGGG
group1,4590000,0,0,TTAGGG
group1,4600000,0,0,TTAGGG
group1,4610000,0,0,TTAGGG
group1,4620000,0,0,TTAGGG
group1,4630000,0,0,TTAGGG
group1,4640000,2,1,TTAGGG
group1,4650000,2,0,TTAGGG
group1,4660000,0,3,TTAGGG
group1,4670000,10,0,TTAGGG
group1,4680000,0,0,TTAGGG
group1,4690000,10,3,TTAGGG
group1,4700000,0,0,TTAGGG
group1,4710000,2,2,TTAGGG
group1,4720000,0,0,TTAGGG
group1,4730000,0,0,TTAGGG
group1,4740000,0,10,TTAGGG
group1,4750000,0,0,TTAGGG
group1,4760000,1,2,TTAGGG
group1,4770000,0,2,TTAGGG
group1,4780000,0,0,TTAGGG
group1,4790000,0,0,TTAGGG
group1,4800000,2,0,TTAGGG
group1,4810000,0,0,TTAGGG
group1,4820000,0,0,TTAGGG
group1,4830000,2,0,TTAGGG
group1,4840000,0,1,TTAGGG
group1,4850000,0,1,TTAGGG
group1,4860000,3,1,TTAGGG
group1,4870000,0,0,TTAGGG
group1,4880000,2,0,TTAGGG
group1,4890000,0,1,TTAGGG
group1,4900000,0,1,TTAGGG
group1,4910000,3,1,TTAGGG
group1,4920000,0,2,TTAGGG
group1,4930000,3,1,TTAGGG
group1,4940000,1,1,TTAGGG
group1,4950000,0,1,TTAGGG
group1,4960000,1,3,TTAGGG
group1,4970000,0,0,TTAGGG
group1,4980000,0,1,TTAGGG
group1,4990000,0,0,TTAGGG
group1,5000000,0,0,TTAGGG
group1,5010000,0,1,TTAGGG
group1,5020000,1,0,TTAGGG
group1,5030000,0,0,TTAGGG
group1,5040000,0,1,TTAGGG
group1,5050000,6,4,TTAGGG
group1,5060000,2,2,TTAGGG
group1,5070000,5,4,TTAGGG
group1,5080000,3,3,TTAGGG
group1,5090000,3,1,TTAGGG
group1,5100000,2,1,TTAGGG
group1,5110000,1,3,TTAGGG
group1,5120000,1,4,TTAGGG
group1,5130000,3,3,TTAGGG
group1,5140000,3,1,TTAGGG
group1,5150000,2,2,TTAGGG
group1,5160000,1,1,TTAGGG
group1,5170000,2,3,TTAGGG
group1,5180000,1,4,TTAGGG
group1,5190000,7,3,TTAGGG
group1,5200000,1,4,TTAGGG
group1,5210000,7,3,TTAGGG
group1,5220000,1,2,TTAGGG
group1,5230000,2,1,TTAGGG
group1,5240000,5,4,TTAGGG
group1,5250000,1,4,TTAGGG
group1,5260000,7,3,TTAGGG
group1,5270000,1,2,TTAGGG
group1,5280000,2,1,TTAGGG
group1,5290000,4,3,TTAGGG
group1,5300000,3,1,TTAGGG
group1,5310000,4,4,TTAGGG
group1,5320000,1,1,TTAGGG
group1,5330000,1,3,TTAGGG
group1,5340000,5,6,TTAGGG
group1,5350000,3,1,TTAGGG
group1,5360000,2,0,TTAGGG
group1,5370000,4,0,TTAGGG
group1,5380000,3,3,TTAGGG
group1,5390000,2,7,TTAGGG
group1,5400000,0,4,TTAGGG
group1,5410000,3,7,TTAGGG
group1,5420000,0,3,TTAGGG
group1,5430000,4,2,TTAGGG
group1,5440000,0,0,TTAGGG
group1,5450000,3,5,TTAGGG
group1,5460000,4,0,TTAGGG
group1,5470000,4,2,TTAGGG
group1,5480000,2,8,TTAGGG
group1,5490000,1,1,TTAGGG
group1,5500000,3,4,TTAGGG
group1,5510000,2,1,TTAGGG
group1,5520000,0,3,TTAGGG
group1,5530000,4,2,TTAGGG
group1,5540000,3,1,TTAGGG
group1,5550000,4,1,TTAGGG
group1,5560000,3,2,TTAGGG
group1,5570000,3,1,TTAGGG
group1,5580000,3,4,TTAGGG
group1,5590000,2,3,TTAGGG
group1,5600000,2,3,TTAGGG
group1,5610000,4,1,TTAGGG
group1,5620000,3,1,TTAGGG
group1,5630000,3,0,TTAGGG
group1,5640000,4,1,TTAGGG
group1,5650000,3,1,TTAGGG
group1,5660000,4,0,TTAGGG
group1,5670000,7,1,TTAGGG
group1,5680000,4,1,TTAGGG
group1,5690000,2,1,TTAGGG
group1,5700000,4,1,TTAGGG
group1,5710000,3,1,TTAGGG
group1,5720000,5,2,TTAGGG
group1,5730000,4,1,TTAGGG
group1,5740000,2,1,TTAGGG
group1,5750000,4,1,TTAGGG
group1,5760000,3,1,TTAGGG
group1,5770000,5,1,TTAGGG
group1,5780000,3,2,TTAGGG
group1,5790000,4,1,TTAGGG
group1,5800000,3,0,TTAGGG
group1,5810000,2,2,TTAGGG
group1,5820000,12,1,TTAGGG
group1,5830000,0,1,TTAGGG
group1,5840000,0,1,TTAGGG
group1,5850000,1,0,TTAGGG
group1,5860000,4,2,TTAGGG
group1,5870000,1,2,TTAGGG
group1,5880000,2,2,TTAGGG
group1,5890000,5,5,TTAGGG
group1,5900000,2,5,TTAGGG
group1,5910000,0,1,TTAGGG
group1,5920000,4,6,TTAGGG
group1,5930000,3,1,TTAGGG
group1,5940000,1,1,TTAGGG
group1,5950000,3,1,TTAGGG
group1,5960000,2,0,TTAGGG
group1,5970000,3,1,TTAGGG
group1,5980000,1,2,TTAGGG
group1,5990000,2,1,TTAGGG
group1,6000000,5,2,TTAGGG
group1,6010000,2,1,TTAGGG
group1,6020000,4,3,TTAGGG
group1,6030000,2,0,TTAGGG
group1,6040000,3,1,TTAGGG
group1,6050000,4,1,TTAGGG
group1,6060000,1,3,TTAGGG
group1,6070000,5,2,TTAGGG
group1,6080000,2,1,TTAGGG
group1,6090000,2,0,TTAGGG
group1,6100000,3,3,TTAGGG
group1,6110000,4,3,TTAGGG
group1,6120000,3,1,TTAGGG
group1,6130000,2,5,TTAGGG
group1,6140000,7,3,TTAGGG
group1,6150000,3,2,TTAGGG
group1,6160000,2,7,TTAGGG
group1,6170000,0,3,TTAGGG
group1,6180000,3,3,TTAGGG
group1,6190000,1,3,TTAGGG
group1,6200000,0,0,TTAGGG
group1,6210000,0,0,TTAGGG
group1,6220000,0,0,TTAGGG
group1,6230000,0,0,TTAGGG
group1,6240000,0,0,TTAGGG
group1,6250000,3,1,TTAGGG
group1,6260000,1,3,TTAGGG
group1,6270000,0,0,TTAGGG
group1,6280000,0,0,TTAGGG
group1,6290000,0,0,TTAGGG
group1,6300000,0,0,TTAGGG
group1,6310000,0,0,TTAGGG
group1,6320000,0,0,TTAGGG
group1,6330000,0,0,TTAGGG
group1,6340000,0,0,TTAGGG
group1,6350000,0,0,TTAGGG
group1,6360000,0,0,TTAGGG
group1,6370000,0,0,TTAGGG
group1,6380000,0,0,TTAGGG
group1,6390000,0,0,TTAGGG
group1,6400000,0,0,TTAGGG
group1,6410000,0,0,TTAGGG
group1,6420000,0,1,TTAGGG
group1,6430000,0,1,TTAGGG
group1,6440000,1,0,TTAGGG
group1,6450000,0,2,TTAGGG
group1,6460000,0,0,TTAGGG
group1,6470000,0,0,TTAGGG
group1,6480000,0,0,TTAGGG
group1,6490000,2,1,TTAGGG
group1,6500000,0,0,TTAGGG
group1,6510000,2,0,TTAGGG
group1,6520000,0,1,TTAGGG
group1,6530000,1,0,TTAGGG
group1,6540000,1,0,TTAGGG
group1,6550000,0,0,TTAGGG
group1,6560000,2,0,TTAGGG
group1,6570000,0,0,TTAGGG
group1,6580000,0,0,TTAGGG
group1,6590000,0,0,TTAGGG
group1,6600000,2,1,TTAGGG
group1,6610000,4,3,TTAGGG
group1,6620000,1,0,TTAGGG
group1,6630000,1,1,TTAGGG
group1,6640000,4,3,TTAGGG
group1,6650000,0,0,TTAGGG
group1,6660000,4,3,TTAGGG
group1,6670000,0,0,TTAGGG
group1,6680000,2,1,TTAGGG
group1,6690000,1,2,TTAGGG
group1,6700000,1,0,TTAGGG
group1,6710000,3,4,TTAGGG
group1,6720000,0,0,TTAGGG
group1,6730000,4,3,TTAGGG
group1,6740000,0,0,TTAGGG
group1,6750000,0,1,TTAGGG
group1,6760000,0,0,TTAGGG
group1,6770000,1,1,TTAGGG
group1,6780000,2,1,TTAGGG
group1,6790000,0,1,TTAGGG
group1,6800000,0,1,TTAGGG
group1,6810000,0,0,TTAGGG
group1,6820000,0,0,TTAGGG
group1,6830000,0,0,TTAGGG
group1,6840000,1,0,TTAGGG
group1,6850000,1,2,TTAGGG
group1,6860000,1,0,TTAGGG
group1,6870000,3,0,TTAGGG
group1,6880000,2,1,TTAGGG
group1,6890000,3,0,TTAGGG
group1,6900000,1,0,TTAGGG
group1,6910000,2,4,TTAGGG
group1,6920000,2,2,TTAGGG
group1,6930000,0,4,TTAGGG
group1,6940000,0,1,TTAGGG
group1,6950000,0,0,TTAGGG
group1,6960000,2,0,TTAGGG
group1,6970000,0,0,TTAGGG
group1,6980000,1,2,TTAGGG
group1,6990000,3,3,TTAGGG
group1,7000000,0,0,TTAGGG
group1,7010000,3,3,TTAGGG
group1,7020000,1,3,TTAGGG
group1,7030000,0,0,TTAGGG
group1,7040000,1,3,TTAGGG
group1,7050000,3,3,TTAGGG
group1,7060000,0,0,TTAGGG
group1,7070000,2,4,TTAGGG
group1,7080000,4,3,TTAGGG
group1,7090000,3,3,TTAGGG
group1,7100000,0,2,TTAGGG
group1,7110000,2,3,TTAGGG
group1,7120000,0,0,TTAGGG
group1,7130000,2,2,TTAGGG
group1,7140000,0,3,TTAGGG
group1,7150000,0,1,TTAGGG
group1,7160000,6,1,TTAGGG
group1,7170000,0,1,TTAGGG
group1,7180000,2,1,TTAGGG
group1,7190000,4,1,TTAGGG
group1,7200000,0,2,TTAGGG
group1,7210000,0,0,TTAGGG
group1,7220000,0,0,TTAGGG
group1,7230000,3,2,TTAGGG
group1,7240000,2,1,TTAGGG
group1,7250000,0,1,TTAGGG
group1,7260000,0,0,TTAGGG
group1,7270000,2,2,TTAGGG
group1,7280000,1,0,TTAGGG
group1,7290000,1,1,TTAGGG
group1,7300000,2,1,TTAGGG
group1,7310000,1,0,TTAGGG
group1,7320000,2,3,TTAGGG
group1,7330000,0,2,TTAGGG
group1,7340000,3,0,TTAGGG
group1,7350000,5,0,TTAGGG
group1,7360000,1,0,TTAGGG
group1,7370000,4,1,TTAGGG
group1,7380000,1,0,TTAGGG
group1,7390000,2,1,TTAGGG
group1,7400000,1,1,TTAGGG
group1,7410000,2,0,TTAGGG
group1,7420000,4,3,TTAGGG
group1,7430000,1,1,TTAGGG
group1,7440000,5,3,TTAGGG
group1,7450000,1,1,TTAGGG
group1,7460000,2,1,TTAGGG
group1,7470000,4,2,TTAGGG
group1,7480000,1,1,TTAGGG
group1,7490000,3,0,TTAGGG
group1,7500000,0,3,TTAGGG
group1,7510000,1,1,TTAGGG
group1,7520000,0,3,TTAGGG
group1,7530000,1,1,TTAGGG
group1,7540000,0,3,TTAGGG
group1,7550000,2,1,TTAGGG
group1,7560000,1,1,TTAGGG
group1,7570000,3,0,TTAGGG
group1,7580000,0,0,TTAGGG
group1,7590000,0,0,TTAGGG
group1,7600000,1,1,TTAGGG
group1,7610000,3,0,TTAGGG
group1,7620000,0,0,TTAGGG
group1,7630000,0,0,TTAGGG
group1,7640000,0,0,TTAGGG
group1,7650000,0,0,TTAGGG
group1,7660000,0,0,TTAGGG
group1,7670000,2,0,TTAGGG
group1,7680000,2,0,TTAGGG
group1,7690000,2,3,TTAGGG
group1,7700000,0,1,TTAGGG
group1,7710000,2,4,TTAGGG
group1,7720000,2,1,TTAGGG
group1,7730000,3,3,TTAGGG
group1,7740000,3,1,TTAGGG
group1,7750000,2,1,TTAGGG
group1,7760000,1,5,TTAGGG
group1,7770000,1,1,TTAGGG
group1,7780000,1,3,TTAGGG
group1,7790000,1,3,TTAGGG
