# BUSCO version is: 5.6.1 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
49at3699	Duplicated	group6	9917624	9927486	+	3361.8	1749	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Duplicated	group4	1077948	1084574	+	3378.4	1790	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
50at3699	Duplicated	group4	1153770	1147144	-	3378.4	1790	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
51at3699	Duplicated	group3	63814347	63804805	-	3481.3	1897	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
51at3699	Duplicated	group3	63701881	63692461	-	3481.0	1897	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
53at3699	Complete	group3	101291460	101306739	+	3353.9	1788	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Complete	group2	602466	612988	+	3723.8	1787	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Complete	group4	35864072	35874284	+	3296.6	1628	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Complete	group5	67098432	67088732	-	3124.4	1819	https://v10-1.orthodb.org/?query=62at3699	Separase
71at3699	Duplicated	group1	249739300	249774809	+	3509.6	1764	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
71at3699	Duplicated	group1	249898161	249885637	-	3509.6	1764	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
74at3699	Complete	group2	2372114	2380890	+	2641.5	1555	https://v10-1.orthodb.org/?query=74at3699	Kinesin motor domain
75at3699	Complete	group2	118670325	118742303	+	3394.2	1713	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
78at3699	Complete	group6	1795397	1783848	-	3012.6	1608	https://v10-1.orthodb.org/?query=78at3699	ABC transporter A
79at3699	Complete	group3	72142662	72134377	-	2775.7	1685	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
81at3699	Complete	group5	33093599	33101163	+	3213.7	1572	https://v10-1.orthodb.org/?query=81at3699	Dicer dimerisation domain
83at3699	Complete	group2	9203114	9211372	+	2624.1	1395	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
84at3699	Complete	group3	86240356	86252169	+	3113.1	1616	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
90at3699	Duplicated	utg000705l	130985	122657	-	3103.2	1678	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
90at3699	Duplicated	utg001618l	356842	348522	-	3102.2	1678	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
91at3699	Complete	group4	88587661	88638532	+	2879.8	1720	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
94at3699	Complete	group2	115163570	115156070	-	2634.7	1768	https://v10-1.orthodb.org/?query=94at3699	uncharacterized protein LOC103840946
96at3699	Complete	group5	77558353	77497476	-	2634.4	1466	https://v10-1.orthodb.org/?query=96at3699	Tetratricopeptide repeat (TPR)-like superfamily protein
97at3699	Duplicated	group3	24766891	24775525	+	2629.2	1504	https://v10-1.orthodb.org/?query=97at3699	DNA-directed DNA polymerase, family B, exonuclease domain
97at3699	Duplicated	group3	26470133	26461499	-	2629.2	1504	https://v10-1.orthodb.org/?query=97at3699	DNA-directed DNA polymerase, family B, exonuclease domain
98at3699	Duplicated	group6	8253846	8245485	-	2842.3	1479	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
98at3699	Duplicated	group6	8410929	8419142	+	2764.8	1479	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
102at3699	Complete	group2	18352516	18360378	+	3031.7	1426	https://v10-1.orthodb.org/?query=102at3699	Zinc finger, RING-type
103at3699	Duplicated	utg000440l	180843	190332	+	2964.6	1569	https://v10-1.orthodb.org/?query=103at3699	Proteasome activator Blm10, mid region
103at3699	Duplicated	utg001618l	176902	186394	+	2964.6	1569	https://v10-1.orthodb.org/?query=103at3699	Proteasome activator Blm10, mid region
107at3699	Missing
112at3699	Duplicated	group5	63793331	63784020	-	2652.8	1504	https://v10-1.orthodb.org/?query=112at3699	tRNA/rRNA methyltransferase, SpoU type
112at3699	Duplicated	group5	63992426	63983108	-	2649.5	1504	https://v10-1.orthodb.org/?query=112at3699	tRNA/rRNA methyltransferase, SpoU type
113at3699	Complete	group5	33253887	33247251	-	3221.2	1532	https://v10-1.orthodb.org/?query=113at3699	Sec7, C-terminal
115at3699	Duplicated	group6	6744667	6732119	-	2736.2	1482	https://v10-1.orthodb.org/?query=115at3699	Protein SHOOT GRAVITROPISM 6
115at3699	Duplicated	group6	6995920	6983529	-	2733.0	1471	https://v10-1.orthodb.org/?query=115at3699	Protein SHOOT GRAVITROPISM 6
119at3699	Complete	group3	39297249	39307387	+	2763.4	1393	https://v10-1.orthodb.org/?query=119at3699	UDP-glucose:Glycoprotein Glucosyltransferase
121at3699	Duplicated	group3	35906115	35990086	+	2838.7	1438	https://v10-1.orthodb.org/?query=121at3699	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
121at3699	Duplicated	group3	36019596	36010018	-	2838.7	1438	https://v10-1.orthodb.org/?query=121at3699	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
125at3699	Duplicated	group2	3623666	3631584	+	2468.6	1537	https://v10-1.orthodb.org/?query=125at3699	Autophagy-related, C-terminal
125at3699	Duplicated	group2	3700054	3692136	-	2468.6	1537	https://v10-1.orthodb.org/?query=125at3699	Autophagy-related, C-terminal
132at3699	Complete	group1	116106669	116179695	+	2779.0	1475	https://v10-1.orthodb.org/?query=132at3699	THO complex, subunitTHOC2, C-terminal
134at3699	Complete	group5	56893639	56885721	-	2935.7	1561	https://v10-1.orthodb.org/?query=134at3699	Vacuolar protein sorting-associated protein 8, central domain
141at3699	Complete	group4	2498910	2486819	-	2805.8	1592	https://v10-1.orthodb.org/?query=141at3699	Protein RST1
142at3699	Complete	group3	59002321	59009181	+	2593.7	1583	https://v10-1.orthodb.org/?query=142at3699	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
143at3699	Duplicated	group3	73680331	73674057	-	2733.1	1367	https://v10-1.orthodb.org/?query=143at3699	Mediator complex, subunit Med14
143at3699	Duplicated	group3	73741079	73747353	+	2733.1	1367	https://v10-1.orthodb.org/?query=143at3699	Mediator complex, subunit Med14
145at3699	Complete	group4	29185406	29191893	+	2494.8	1459	https://v10-1.orthodb.org/?query=145at3699	AAA ATPase, AAA+ lid domain
148at3699	Complete	group3	64111287	64102915	-	2514.0	1356	https://v10-1.orthodb.org/?query=148at3699	CLU central domain
155at3699	Duplicated	group3	22720314	22714533	-	2521.8	1323	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
155at3699	Duplicated	group3	23002869	22997113	-	2509.2	1319	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
155at3699	Duplicated	group3	39111562	39118221	+	2397.3	1270	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
164at3699	Complete	group3	97103917	97110471	+	2585.3	1403	https://v10-1.orthodb.org/?query=164at3699	WD40 repeat
169at3699	Complete	group3	54355975	54361832	+	2296.6	1225	https://v10-1.orthodb.org/?query=169at3699	FAD dependent oxidoreductase
172at3699	Complete	group3	86105876	86099441	-	2599.1	1282	https://v10-1.orthodb.org/?query=172at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
173at3699	Duplicated	utg000187l	134236	139735	+	2779.6	1343	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	group2	11073195	11078736	+	2501.2	1341	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	group2	11675541	11670208	-	2433.9	1309	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
177at3699	Complete	group5	77908007	77835629	-	2565.5	1381	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
178at3699	Complete	group4	88780087	88898075	+	3117.5	1636	https://v10-1.orthodb.org/?query=178at3699	HECT domain
179at3699	Duplicated	group3	41498161	41502607	+	2579.0	1208	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	group3	41591588	41587142	-	2579.0	1208	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	group3	21984641	21980293	-	2577.4	1207	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	group3	22066690	22071038	+	2577.4	1207	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
182at3699	Complete	group2	18381463	18376943	-	2705.1	1238	https://v10-1.orthodb.org/?query=182at3699	Magnesium-chelatase subunit ChlH, chloroplastic
185at3699	Complete	group1	271164582	271171244	+	2513.1	1273	https://v10-1.orthodb.org/?query=185at3699	ABC-2 type transporter
190at3699	Complete	group3	95960674	95969502	+	2401.4	1236	https://v10-1.orthodb.org/?query=190at3699	Cleavage and polyadenylation specificity factor subunit 1
192at3699	Duplicated	group2	132475404	132483484	+	2209.6	1204	https://v10-1.orthodb.org/?query=192at3699	DNA-directed RNA polymerase subunit
192at3699	Duplicated	group2	132255316	132263416	+	2201.9	1204	https://v10-1.orthodb.org/?query=192at3699	DNA-directed RNA polymerase subunit
196at3699	Duplicated	group4	90767285	90774167	+	2124.1	1418	https://v10-1.orthodb.org/?query=196at3699	GYF domain
196at3699	Duplicated	group4	90959186	90952304	-	2124.1	1418	https://v10-1.orthodb.org/?query=196at3699	GYF domain
213at3699	Duplicated	group1	248462325	248468551	+	2003.6	1339	https://v10-1.orthodb.org/?query=213at3699	Putative zinc-finger domain
213at3699	Duplicated	group1	248507263	248501037	-	2003.6	1339	https://v10-1.orthodb.org/?query=213at3699	Putative zinc-finger domain
214at3699	Duplicated	group2	132053377	132059184	+	1916.2	1329	https://v10-1.orthodb.org/?query=214at3699	Protein SHORTAGE IN CHIASMATA 1
214at3699	Duplicated	group2	132137904	132132097	-	1916.2	1329	https://v10-1.orthodb.org/?query=214at3699	Protein SHORTAGE IN CHIASMATA 1
217at3699	Complete	group2	124445929	124452830	+	2237.8	1272	https://v10-1.orthodb.org/?query=217at3699	Zinc finger, C5HC2-type
223at3699	Complete	group2	2777152	2772528	-	2705.2	1269	https://v10-1.orthodb.org/?query=223at3699	Pentatricopeptide repeat
224at3699	Complete	group2	21973850	21966623	-	125.6	51	https://v10-1.orthodb.org/?query=224at3699	Cytoplasmic FMR1-interacting
226at3699	Complete	group5	14008046	14012272	+	2561.1	1254	https://v10-1.orthodb.org/?query=226at3699	Protein TORNADO 1
227at3699	Complete	group4	31882852	31876553	-	1923.0	1133	https://v10-1.orthodb.org/?query=227at3699	Dicer dimerisation domain
235at3699	Complete	group3	93834798	93840548	+	2336.1	1269	https://v10-1.orthodb.org/?query=235at3699	RNA polymerase Rpb1, domain 3
236at3699	Complete	group4	33669747	33678980	+	2564.7	1265	https://v10-1.orthodb.org/?query=236at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
238at3699	Duplicated	group2	122483853	122478689	-	2302.4	1209	https://v10-1.orthodb.org/?query=238at3699	ABC transporter type 1, transmembrane domain
238at3699	Duplicated	group2	122276599	122281756	+	2295.7	1209	https://v10-1.orthodb.org/?query=238at3699	ABC transporter type 1, transmembrane domain
245at3699	Complete	group2	123058068	123064468	+	2166.7	1337	https://v10-1.orthodb.org/?query=245at3699	Eukaryotic translation initiation factor 4G
255at3699	Duplicated	utg000429l	202428	195461	-	2286.3	1142	https://v10-1.orthodb.org/?query=255at3699	ATP-dependent RNA helicase Ski2, C-terminal
255at3699	Duplicated	utg009074l	24445	30792	+	1966.4	999	https://v10-1.orthodb.org/?query=255at3699	ATP-dependent RNA helicase Ski2, C-terminal
260at3699	Duplicated	group4	12395448	12389433	-	2272.5	1108	https://v10-1.orthodb.org/?query=260at3699	Metal ion-binding protein
260at3699	Duplicated	group4	12044587	12050596	+	2257.0	1108	https://v10-1.orthodb.org/?query=260at3699	Metal ion-binding protein
267at3699	Complete	group1	270458805	270467784	+	2368.1	1253	https://v10-1.orthodb.org/?query=267at3699	Four-carbon acid sugar kinase, N-terminal domain
268at3699	Complete	group5	10615852	10611293	-	2429.1	1197	https://v10-1.orthodb.org/?query=268at3699	Sec7 domain
278at3699	Complete	group5	29422987	29417200	-	2177.7	1149	https://v10-1.orthodb.org/?query=278at3699	Leucine-rich repeat
286at3699	Complete	group5	57468947	57506552	+	2165.5	1181	https://v10-1.orthodb.org/?query=286at3699	Polymerase, nucleotidyl transferase domain
289at3699	Fragmented	group3	28463450	28466233	+	1115.9	615	https://v10-1.orthodb.org/?query=289at3699	Nucleoporin, Nup133/Nup155-like, C-terminal
290at3699	Missing
293at3699	Complete	group4	406015	436936	+	2387.5	1252	https://v10-1.orthodb.org/?query=293at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
294at3699	Complete	group5	77378687	77408545	+	1919.9	1225	https://v10-1.orthodb.org/?query=294at3699	Enhancer of polycomb-like, N-terminal
295at3699	Complete	group2	118810917	118805641	-	2053.2	1105	https://v10-1.orthodb.org/?query=295at3699	F-box domain
301at3699	Complete	group1	121158025	121165297	+	2047.0	1033	https://v10-1.orthodb.org/?query=301at3699	Peptidase M16, C-terminal
303at3699	Complete	group3	41260292	41252201	-	2224.8	1146	https://v10-1.orthodb.org/?query=303at3699	Transcription initiation factor TFIID subunit 2
304at3699	Missing
308at3699	Complete	group5	62184339	62191967	+	2090.1	1241	https://v10-1.orthodb.org/?query=308at3699	Fanconi anaemia protein FANCD2
313at3699	Complete	group2	18398352	18393791	-	2235.8	1176	https://v10-1.orthodb.org/?query=313at3699	Elongator complex protein 1
315at3699	Duplicated	group3	45369632	45377867	+	2296.7	1126	https://v10-1.orthodb.org/?query=315at3699	Strawberry notch, AAA domain
315at3699	Duplicated	group3	44657877	44666111	+	2295.1	1126	https://v10-1.orthodb.org/?query=315at3699	Strawberry notch, AAA domain
317at3699	Complete	group3	73231603	73191427	-	2341.2	1144	https://v10-1.orthodb.org/?query=317at3699	Peptidase M41
323at3699	Duplicated	utg001743l	99698	93609	-	2325.3	1175	https://v10-1.orthodb.org/?query=323at3699	Mediator of RNA polymerase II transcription subunit 33B
323at3699	Duplicated	utg001744l	79460	73371	-	2325.3	1175	https://v10-1.orthodb.org/?query=323at3699	Mediator of RNA polymerase II transcription subunit 33B
327at3699	Fragmented	group3	46720414	46756540	+	493.7	1019	https://v10-1.orthodb.org/?query=327at3699	A0A087GTA1_ARAAL
329at3699	Duplicated	group4	100164583	100159093	-	1827.8	940	https://v10-1.orthodb.org/?query=329at3699	Glycoside hydrolase, family 2
329at3699	Duplicated	group4	99793971	99799461	+	1827.8	940	https://v10-1.orthodb.org/?query=329at3699	Glycoside hydrolase, family 2
333at3699	Complete	group3	79954308	79948282	-	1964.5	1081	https://v10-1.orthodb.org/?query=333at3699	WD40 repeat
334at3699	Complete	utg002424l	113528	117352	+	2105.4	1063	https://v10-1.orthodb.org/?query=334at3699	RNA-dependent RNA polymerase
340at3699	Complete	group5	64723256	64654471	-	1980.4	1452	https://v10-1.orthodb.org/?query=340at3699	Scar-like domain-containing protein WAVE 5
343at3699	Complete	group1	272519636	272511369	-	1943.2	1100	https://v10-1.orthodb.org/?query=343at3699	DNA2/NAM7 helicase, AAA domain
345at3699	Complete	group4	98524343	98529922	+	2316.2	1163	https://v10-1.orthodb.org/?query=345at3699	Condensin complex subunit 1
347at3699	Complete	group2	4946434	4953127	+	1766.9	973	https://v10-1.orthodb.org/?query=347at3699	Amino-terminal region of chorein
348at3699	Complete	group5	55950624	55957808	+	1943.1	980	https://v10-1.orthodb.org/?query=348at3699	Mediator of RNA polymerase II transcription subunit 16
353at3699	Complete	group1	208551392	208556868	+	2067.0	1033	https://v10-1.orthodb.org/?query=353at3699	Helicase-associated domain
363at3699	Complete	group1	127853305	127863267	+	1910.8	1029	https://v10-1.orthodb.org/?query=363at3699	WD40 repeat
364at3699	Complete	group4	95309292	95302172	-	1994.3	1068	https://v10-1.orthodb.org/?query=364at3699	Carbohydrate-binding-like fold
368at3699	Complete	group1	123436147	123444070	+	2346.2	1515	https://v10-1.orthodb.org/?query=368at3699	Nuclear pore complex protein
369at3699	Duplicated	group5	7253113	7257720	+	2200.0	1056	https://v10-1.orthodb.org/?query=369at3699	TRAPP II complex, Trs120
369at3699	Duplicated	group5	7332833	7328226	-	2200.0	1056	https://v10-1.orthodb.org/?query=369at3699	TRAPP II complex, Trs120
370at3699	Duplicated	group2	11450474	11442925	-	1945.1	1139	https://v10-1.orthodb.org/?query=370at3699	Symplekin/Pta1, N-terminal
370at3699	Duplicated	group2	11306789	11314337	+	1944.0	1139	https://v10-1.orthodb.org/?query=370at3699	Symplekin/Pta1, N-terminal
372at3699	Complete	group1	112275188	112240459	-	2373.2	1049	https://v10-1.orthodb.org/?query=372at3699	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
375at3699	Duplicated	group4	96769235	96777277	+	1985.2	1057	https://v10-1.orthodb.org/?query=375at3699	Protein kinase domain
375at3699	Duplicated	group4	97207769	97199679	-	1978.2	1057	https://v10-1.orthodb.org/?query=375at3699	Protein kinase domain
379at3699	Complete	group5	61690473	61695066	+	2046.6	1135	https://v10-1.orthodb.org/?query=379at3699	PRD1
390at3699	Complete	group1	111999038	112006312	+	2005.5	1028	https://v10-1.orthodb.org/?query=390at3699	RNA polymerase Rpb2, domain 2
392at3699	Duplicated	group5	66584417	66578784	-	1698.6	1018	https://v10-1.orthodb.org/?query=392at3699	Binding / calmodulin binding protein
392at3699	Duplicated	group5	66281807	66287450	+	1805.4	1017	https://v10-1.orthodb.org/?query=392at3699	Binding / calmodulin binding protein
396at3699	Complete	group1	274256300	274260062	+	2152.9	1004	https://v10-1.orthodb.org/?query=396at3699	Cellulose synthase
398at3699	Duplicated	group2	2531220	2536248	+	2027.3	1011	https://v10-1.orthodb.org/?query=398at3699	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
398at3699	Duplicated	group2	2763253	2768272	+	2019.9	1011	https://v10-1.orthodb.org/?query=398at3699	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
405at3699	Complete	group5	27521281	27516117	-	2023.1	979	https://v10-1.orthodb.org/?query=405at3699	GIGANTEA
411at3699	Complete	group1	246590763	246595547	+	2272.0	1058	https://v10-1.orthodb.org/?query=411at3699	WD40/YVTN repeat-like-containing domain superfamily
419at3699	Complete	group5	62908438	62913405	+	2098.6	1108	https://v10-1.orthodb.org/?query=419at3699	Condensin-2 complex subunit D3
420at3699	Complete	group3	45322495	45327794	+	1928.4	1095	https://v10-1.orthodb.org/?query=420at3699	ARM repeat superfamily protein
431at3699	Complete	group4	86462234	86456115	-	1605.1	880	https://v10-1.orthodb.org/?query=431at3699	Helicase/UvrB, N-terminal
434at3699	Complete	group5	56677688	56670848	-	2047.9	1127	https://v10-1.orthodb.org/?query=434at3699	DNA mismatch repair protein MutS, core
435at3699	Complete	group2	28644281	28738213	+	2005.4	1222	https://v10-1.orthodb.org/?query=435at3699	FANCI solenoid 2 domain
436at3699	Complete	group2	1959766	1966481	+	1967.5	955	https://v10-1.orthodb.org/?query=436at3699	Phospholipase
438at3699	Complete	group3	20811132	20806219	-	1839.2	993	https://v10-1.orthodb.org/?query=438at3699	Tetratricopeptide repeat
450at3699	Duplicated	group3	73215503	73262426	+	1998.6	1044	https://v10-1.orthodb.org/?query=450at3699	Exportin-4 protein
450at3699	Duplicated	group3	73449130	73441370	-	1967.1	1044	https://v10-1.orthodb.org/?query=450at3699	Exportin-4 protein
452at3699	Duplicated	group4	89007043	88960577	-	2050.8	1185	https://v10-1.orthodb.org/?query=452at3699	RNA polymerase II-associated protein 1, C-terminal
452at3699	Duplicated	group4	89110175	89104724	-	2049.9	1185	https://v10-1.orthodb.org/?query=452at3699	RNA polymerase II-associated protein 1, C-terminal
462at3699	Complete	group2	130400630	130563521	+	1529.1	1022	https://v10-1.orthodb.org/?query=462at3699	Protein ENHANCED DOWNY MILDEW 2
464at3699	Complete	group4	38491247	38496433	+	1882.0	967	https://v10-1.orthodb.org/?query=464at3699	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
469at3699	Complete	group5	64159918	64156294	-	1934.6	962	https://v10-1.orthodb.org/?query=469at3699	Phytochrome
470at3699	Complete	group3	43868233	43748366	-	1903.9	1170	https://v10-1.orthodb.org/?query=470at3699	ARM repeat superfamily protein
474at3699	Complete	group4	35329081	35324466	-	1717.5	942	https://v10-1.orthodb.org/?query=474at3699	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
475at3699	Duplicated	group2	13502574	13553814	+	1791.4	1029	https://v10-1.orthodb.org/?query=475at3699	JmjN domain
475at3699	Duplicated	group2	13682298	13677606	-	1791.4	1029	https://v10-1.orthodb.org/?query=475at3699	JmjN domain
476at3699	Complete	group2	14148161	14153491	+	2225.8	1023	https://v10-1.orthodb.org/?query=476at3699	Helicase-associated domain
477at3699	Complete	group5	54586424	54590877	+	1947.9	997	https://v10-1.orthodb.org/?query=477at3699	RNA-dependent RNA polymerase
481at3699	Complete	group5	69059048	69002490	-	1880.2	953	https://v10-1.orthodb.org/?query=481at3699	Pesticidal crystal cry8Ba protein
488at3699	Duplicated	group2	117770150	117774859	+	1766.7	965	https://v10-1.orthodb.org/?query=488at3699	HECT domain
488at3699	Duplicated	group2	117480287	117484996	+	1765.6	965	https://v10-1.orthodb.org/?query=488at3699	HECT domain
488at3699	Duplicated	group2	117713703	117708994	-	1765.6	965	https://v10-1.orthodb.org/?query=488at3699	HECT domain
490at3699	Complete	group4	2049488	2012378	-	1715.1	1110	https://v10-1.orthodb.org/?query=490at3699	XPG N-terminal
497at3699	Duplicated	group2	104079780	104086153	+	1631.3	1038	https://v10-1.orthodb.org/?query=497at3699	Kinesin motor domain
497at3699	Duplicated	group2	104547430	104541057	-	1631.3	1038	https://v10-1.orthodb.org/?query=497at3699	Kinesin motor domain
501at3699	Complete	group3	72076679	72072425	-	1781.4	852	https://v10-1.orthodb.org/?query=501at3699	Protein TPLATE
503at3699	Duplicated	group3	76227990	76232514	+	1961.5	1040	https://v10-1.orthodb.org/?query=503at3699	Trafficking protein particle complex subunit 11
503at3699	Duplicated	group3	76263890	76259366	-	1961.5	1040	https://v10-1.orthodb.org/?query=503at3699	Trafficking protein particle complex subunit 11
505at3699	Complete	group3	49767333	49763772	-	1987.9	1016	https://v10-1.orthodb.org/?query=505at3699	Phytochrome
506at3699	Complete	group4	34958235	34951884	-	1972.0	973	https://v10-1.orthodb.org/?query=506at3699	DNA mismatch repair protein MutS, C-terminal
507at3699	Complete	group2	137247228	137251924	+	1896.8	937	https://v10-1.orthodb.org/?query=507at3699	Protein kinase domain
509at3699	Duplicated	group2	138098067	138104483	+	1970.4	971	https://v10-1.orthodb.org/?query=509at3699	DNA-directed DNA polymerase, family B, exonuclease domain
509at3699	Duplicated	group4	36078088	36071183	-	1739.3	951	https://v10-1.orthodb.org/?query=509at3699	DNA-directed DNA polymerase, family B, exonuclease domain
515at3699	Duplicated	group3	87057853	87052279	-	1523.7	1012	https://v10-1.orthodb.org/?query=515at3699	CST complex subunit CTC1, plant
515at3699	Duplicated	group3	87425751	87431325	+	1523.7	1012	https://v10-1.orthodb.org/?query=515at3699	CST complex subunit CTC1, plant
515at3699	Duplicated	group3	87312475	87318055	+	1377.3	983	https://v10-1.orthodb.org/?query=515at3699	CST complex subunit CTC1, plant
525at3699	Complete	group5	9602044	9597680	-	2053.4	921	https://v10-1.orthodb.org/?query=525at3699	Cellulose synthase
527at3699	Duplicated	group2	4323790	4327419	+	1808.5	959	https://v10-1.orthodb.org/?query=527at3699	AP-5 complex subunit beta-like protein
